program - simb_program
nome2 - id
; - simb_ponto_virgula
var - simb_var
a - id
: - simb_dois_pontos
real - simb_tipo_real
; - simb_ponto_virgula
var - simb_var
b - id
: - simb_dois_pontos
integer - simb_tipo_inteiro
; - simb_ponto_virgula
procedure - simb_procedimento
nomep - id
( - simb_abre_parenteses
x - id
: - simb_dois_pontos
real - simb_tipo_real
) - simb_fecha_parenteses
; - simb_ponto_virgula
var - simb_var
a - id
, - simb_virgula
c - id
: - simb_dois_pontos
integer - simb_tipo_inteiro
; - simb_ponto_virgula
begin - simb_iniciar
read - simb_leia
( - simb_abre_parenteses
c - id
, - simb_virgula
a - id
) - simb_fecha_parenteses
; - simb_ponto_virgula
if - simb_se
a - id
< - simb_menor
x - id
+ - simb_mais
c - id
then - simb_entao
begin - simb_iniciar
a - id
:= - simb_atribuicao
c - id
+ - simb_mais
x - id
; - simb_ponto_virgula
write - simb_escreva
( - simb_abre_parenteses
a - id
) - simb_fecha_parenteses
; - simb_ponto_virgula
end - simb_fim
else - simb_senao
c - id
:= - simb_atribuicao
a - id
+ - simb_mais
x - id
; - simb_ponto_virgula
end - simb_fim
; - simb_ponto_virgula
begin - simb_iniciar
read - simb_leia
( - simb_abre_parenteses
b - id
) - simb_fecha_parenteses
; - simb_ponto_virgula
nomep - id
( - simb_abre_parenteses
b - id
) - simb_fecha_parenteses
; - simb_ponto_virgula
end - simb_fim
. - simb_ponto
